Question Text,Correct Answer,Question Category,Wrong Answer 1,Wrong Answer 2,Wrong Answer 3,,
What is the capital of France?,Paris,Geography,London,Berlin,Madrid,,
Who won the FIFA World Cup in 2018?,France,Football,Brazil,Germany,Argentina,,
What is the largest planet in our solar system?,Jupiter,Geography,Saturn,Mars,Earth,,
What is the main programming language used for Android app development?,Java,Java,C++,Python,JavaScript,,
In which year did World War II end?,1945,History,1918,1939,1950,,
What is the name of the largest ocean on Earth?,Pacific Ocean,Geography,Atlantic Ocean,Indian Ocean,Arctic Ocean,,
Which team has won the most UEFA Champions League titles?,Real Madrid,Football,Barcelona,Liverpool,Bayern Munich,,
What is the name of the tallest mountain in the world?,Mount Everest,Geography,K2,Kangchenjunga,Makalu,,
Who is considered the father of modern physics?,Isaac Newton,History,Nicolaus Copernicus,Galileo Galilei,Albert Einstein,,
Which country hosted the 2014 FIFA World Cup?,Brazil,Football,Germany,Spain,France,,
Which programming language is known for its use in statistical computing and graphics?,R,Java,Python,C++,,,
Who was the first female Prime Minister of the United Kingdom?,Margaret Thatcher,History,Angela Merkel,Theresa May,Hillary Clinton,,
What is the longest river in the world?,Nile River,Geography,Amazon River,Yangtze River,Mississippi River,,
Which footballer has won the most Ballon d'Or awards?,Lionel Messi,Football,Cristiano Ronaldo,Michel Platini,Marco van Basten,,
Which ancient civilization built the Great Pyramids of Giza?,Ancient Egyptians,History,Ancient Greeks,Ancient Romans,Mayans,,
What is the currency of Japan?,Yen,Geography,Euro,Dollar,Pound,,
"Who is the author of the book ""To Kill a Mockingbird""?",Harper Lee,History,J.K. Rowling,Mark Twain,Charles Dickens,,
"Which continent is known as the ""Land of Fire and Ice""?",Europe,Geography,Africa,Asia,Antarctica,,
"Which footballer is often referred to as ""CR7""?",Cristiano Ronaldo,Football,Lionel Messi,Neymar,Mohamed Salah,,
Which American president was assassinated in 1963?,John F. Kennedy,History,Abraham Lincoln,Theodore Roosevelt,Ronald Reagan,,
What is the capital of Japan?,Tokyo,Geography,Beijing,Seoul,Osaka,,
"Who painted the famous artwork ""The Starry Night""?",Vincent van Gogh,History,Pablo Picasso,Leonardo da Vinci,Claude Monet,,
Which mountain range spans across seven countries in South America?,Andes Mountains,Geography,Alps,Himalayas,Rocky Mountains,,
What is the currency of India?,Indian Rupee,Geography,Yen,Dollar,Pound,,
"Who is known as the ""Father of Geometry""?",Euclid,History,Aristotle,Pythagoras,Socrates,,
What is the world's largest desert?,Sahara Desert,Geography,Gobi Desert,Kalahari Desert,Arabian Desert,,
Which football club has won the most English Premier League titles?,Manchester United,Football,Liverpool,Arsenal,Chelsea,,
"Which queen was known as the ""Virgin Queen""?",Queen Elizabeth I,History,Queen Victoria,Cleopatra,Queen Anne,,
What is the tallest animal in the world?,Giraffe,Geography,Elephant,Lion,Hippo,,
"Who composed the musical masterpiece ""Symphony No. 9""?",Ludwig van Beethoven,History/Western Classical Music/Western Art Music/Western Classical Tradition,Wolfgang Amadeus Mozart,Johann Sebastian Bach,Franz Schubert,,
What is the largest country by land area?,Russia,Geography,Canada,China,United States,,
"Which footballer is known for his famous ""Hand of God"" goal?",Diego Maradona,Football,Pele,Ronaldinho,Zinedine Zidane,,
Who discovered penicillin?,Alexander Fleming,History,Marie Curie,Albert Einstein,Isaac Newton,,
Which ocean is the deepest in the world?,Pacific Ocean,Geography,Indian Ocean,Atlantic Ocean,Arctic Ocean,,
Which footballer has won the most FIFA World Player of the Year awards?,Lionel Messi,Football,Cristiano Ronaldo,Ronaldinho,Zinedine Zidane,,
What is the currency of Brazil?,Real,Geography,Peso,Dinar,Ruble,,
"Who wrote the play ""Romeo and Juliet""?",William Shakespeare,History,Charles Dickens,Mark Twain,George Orwell,,
